Suivi de stage ( Édité le 10/03/2020 à 17h20);;;;;
Les entreprises;;;;;
Nom;Adresse;Ville;Secteur Activité;Téléphone;Email
DIOQA x ;372 RUE LAVOISIER;44150 - ANCENIS ST GEREON;Informatique;0972461454;
METROPOLE NICE COTE D'AZUR;SALLE POLYVALENTE ST ROCH
10 RUE JULES MICHEL;06300 - NICE;Collectivites;;
NANTES METROPOLE;2, COURS DU CHAMPS DE MARS;44923 - NANTES CEDEX 9;Collectivites;02 52 10 80 10;adeline.allusson@nantes.metropole.fr
NORSYS;1 RUE DE LA CENSE DES RAINES;59710 - ENNEVELIN;Informatique;0285526865;
AQUASYS;2 RUE DE NANTES;44710 - PORT ST PERE;Informatique;951724172;
BESYNC SARL;18 RUE DU MOULIN DES LANDES;44840 - LES SORINIERES ;Informatique;;
DS SMITH PACKAGING ATLANTIQUE;18 RUE GUSTAVE EIFFEL;44118 - LA CHEVROLIERE;;240021700;
KELCOM;1 RUE EUGENE VARLIN;44100 - NANTES;Communication;240352180;
Kook line;18 RUE DE LA PLANCHONNAIS - PORTE 26;44980 - STE LUCE SUR LOIRE;;240471956;
LAPODE SARL;45 RUE DES GAROTTIERES;44115 - HAUTE GOULAINE;Informatique;240636837;
